name	begin	length	end	BLAST result	BLAST score	refseq	reverse complement	phylo-major result	phylo-major support	phylo-minor result	phylo-minor support
MN614430.1	-47	7239	7188	Hepeviridae Orthohepevirus A	90.07496	NC_001434	false	HEV3	100.0	HEV3a	100.0
MN614429.1	-47	7239	7188	Hepeviridae Orthohepevirus A	90.047195	NC_001434	false	HEV3	100.0	HEV3a	100.0
MT840367.1	-54	7190	7139	Hepeviridae Orthohepevirus A	82.52427	NC_001434	false	HEV3	100.0	HEV3e	100.0
MT840366.1	88	7087	7176	Hepeviridae Orthohepevirus A	85.62307	NC_001434	false	HEV3	100.0	HEV3c	100.0
MT840365.1	77	6888	6968	Hepeviridae Orthohepevirus A	81.7462	NC_001434	false	HEV3	100.0	HEV3l (p)	100.0
MT840364.1	120	6935	7058	Hepeviridae Orthohepevirus A	85.44118	NC_001434	false	HEV3	100.0	HEV3c	100.0
MT840363.1	-55	7237	7183	Hepeviridae Orthohepevirus A	82.59885	NC_001434	false	HEV3	100.0	HEV3e	100.0
MT840362.1	0	7002	7005	Hepeviridae Orthohepevirus A	85.049904	NC_001434	false	HEV3	100.0	HEV3c	100.0
MT840361.1	78	6891	6972	Hepeviridae Orthohepevirus A	85.072716	NC_001434	false	HEV3	100.0	HEV3c	100.0
MT840360.1	-37	7067	7033	Hepeviridae Orthohepevirus A	85.107735	NC_001434	false	HEV3	100.0	HEV3c	100.0
M74506.1	6	7180	7189	Hepeviridae Orthohepevirus A	100.0	NC_001434	false	HEV2	100.0	HEV2a	100.0
LC545471.1	-67	7269	7190	Hepeviridae Orthohepevirus A	92.70345	NC_001434	false	HEV5	100.0		
MT840359.1	-37	7211	7174	Hepeviridae Orthohepevirus A	85.352806	NC_001434	false	HEV3	100.0	HEV3c	100.0
MT085261.1	34	6347	6381	Hepeviridae Orthohepevirus C	76.748535	GU345042	false				
LC535077.1	-110	7297	7186	Hepeviridae Orthohepevirus A	85.01785	NC_001434	false	HEV3ra	100.0		
MT364355.1	-110	7308	7197	Hepeviridae Orthohepevirus A	94.35595	NC_001434	false	HEV3ra	100.0		
MN714358.1	-53	7240	7186	Hepeviridae Orthohepevirus A	85.1585	NC_001434	false	HEV3	100.0	Could not assign	
LC549187.1	0	6980	6968	Hepeviridae Orthohepevirus C	80.652115	GU345042	false				
LC549186.1	0	6989	6977	Hepeviridae Orthohepevirus C	80.63775	GU345042	false				
LC549185.1	21	6961	6982	Hepeviridae Orthohepevirus C	76.532036	GU345042	false				
LC549184.1	-18	7002	6981	Hepeviridae Orthohepevirus C	76.802216	GU345042	false				
KX387865.1	-56	7223	7170	Hepeviridae Orthohepevirus A	78.036125	NC_001434	false	HEV7	87.0		
KJ496143.1	-51	7224	7174	Hepeviridae Orthohepevirus A	100.0	NC_001434	false	HEV7	100.0		
KY436898.1	-101	7276	7173	Hepeviridae Orthohepevirus A	83.76409	NC_001434	false	HEV3ra	100.0		
MD194687.1	-70	7256	7183	Hepeviridae Orthohepevirus A	91.51061	NC_001434	false	HEV3	100.0	HEV3a	100.0
LR777866.1	-75	7266	7192	Hepeviridae Orthohepevirus A	84.859085	NC_001434	false	HEV3	100.0	HEV3t (p)	100.0
LR777865.1	-75	7232	7157	Hepeviridae Orthohepevirus A	84.6945	NC_001434	false	HEV3	100.0	HEV3t (p)	100.0
LR777864.1	-75	7266	7192	Hepeviridae Orthohepevirus A	84.961945	NC_001434	false	HEV3	100.0	HEV3t (p)	100.0
LR777863.1	-75	7266	7191	Hepeviridae Orthohepevirus A	84.94137	NC_001434	false	HEV3	100.0	HEV3t (p)	100.0
MN629976.1	-24	7094	7073	Hepeviridae Orthohepevirus A	85.026184	NC_001434	false	HEV3	100.0	HEV3c	100.0
MN614143.1	-27	6522	6498	Hepeviridae Orthohepevirus A	82.43153	NC_001434	false	HEV3	100.0	HEV3f	100.0
MN614142.1	-33	6279	6246	Hepeviridae Orthohepevirus A	81.436905	NC_001434	false	HEV3	100.0	HEV3f	100.0
MN614141.1	-52	7232	7181	Hepeviridae Orthohepevirus A	84.90216	NC_001434	false	HEV3	100.0	HEV3c	100.0
MN614140.1	-40	7190	7153	Hepeviridae Orthohepevirus A	85.02575	NC_001434	false	HEV3	100.0	HEV3c	100.0
MN614139.1	-41	7110	7072	Hepeviridae Orthohepevirus A	85.0021	NC_001434	false	HEV3	100.0	HEV3c	100.0
MN646696.1	-204	7306	7105	Hepeviridae Orthohepevirus A	82.577965	NC_001434	false	HEV3	100.0	HEV3f	100.0
MN646695.1	-210	7341	7134	Hepeviridae Orthohepevirus A	83.16442	NC_001434	false	HEV3	100.0	HEV3f	100.0
